ft_equipment_id,ft_facility_code,ft_item_type,ft_library_id,ft_model_name,ft_manu_name,ft_serial_num,ft_power_source,ft_ref_gas_type,fi_cfc_free,fn_dimh_4deg,fn_diml_4deg,fn_dimw_4deg,fn_gross_volume_4deg,fn_net_volume_4deg,fn_dimh_20deg,fn_diml_20deg,fn_dimw_20deg,fn_gross_volume_20deg,fn_net_volume_20deg,fi_supply_year,fi_supply_source,fi_operating_cond,fi_work_status,fn_temp_high,fn_temp_low,fi_food,fi_tagged,fi_installation,ft_comment,fn_temp_monitor,fi_temp_none,fi_temp_dial,fi_temp_stem,fi_temp_30_visual,fi_temp_30_sms,fi_temp_number,ft_work_remarks,fn_not_work_spare_parts,fn_not_work_finance,fn_not_work_fuel,fn_not_work_boarded,fn_days_8,fn_days_2
R-000134,1000-0000,CFAC,E999,C320,Defy South Africa,AE98270197,E,Unknown,,,,,0,0,,,,308,0,1998,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000135,1000-0000,ILR,E003007,MK304,Vestfrost,20011902053,E,R134A,,,,,218,105,,,,0,0,2003,,1,1,,,,0,,,,0,-1,0,-1,0,,,0,0,0,0,0,0
R-000136,1000-0000,CREG,E388M,RCW 50 EG,Dometic,2212057,EG,NH3,,,,,70,24,,,,0,0,2010,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000137,1000-0001,ILR,E3111M,TCW 2000 AC,Dometic,9431932,E,R134A,,,,,118,60,,,,42,0,2010,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000138,1000-0001,ILR,E3111M,TCW 2000 AC,Dometic,9431931,E,R134A,,,,,118,60,,,,42,0,2010,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000139,1000-0001,ILR,E3107,TCW 3000,Dometic,9402084,E,R134A,,,,,278,126.5,,,,0,0,2010,,3,3,,,,0,,,,0,0,0,0,0,,,-1,0,0,0,,
R-000140,1000-0001,CFAC,E398M,MF 314,Vestfrost,88183205,E,R134a,0,,,,0,0,70,108,44,323,264,2004,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000141,1000-0001,CREG,E388M,RCW 50 EG,Dometic,2212076,EG,NH3,,,,,70,24,,,,0,0,2010,,3,2,,,,0,,,,0,0,0,0,0,,,-1,0,0,0,,
R-000142,1000-0001,CREG,E388M,RCW 50 EG,Dometic,9420758,EG,NH3,,,,,70,24,,,,0,0,2010,,3,2,,,,0,,,,0,0,0,0,0,,,-1,0,0,0,,
R-000143,1000-0001,CREG,E388M,RCW 50 EG,Dometic,9420750,EG,NH3,,,,,70,24,,,,0,0,2010,,1,2,,,,0,,,,0,0,0,0,0,,,0,0,0,0,,
R-000144,1000-0001,CREG,E388M,RCW 50 EG,Dometic,9420767,EG,NH3,,,,,70,24,,,,0,0,2010,,1,2,,,,0,,,,0,0,0,0,0,,,0,0,0,0,,
R-000145,1000-0001,CREK,E391M,RCW 50 EK,Dometic,9401255,EK,NH3,,,,,70,24,,,,2.4,0,2010,,1,2,,,,0,,,,0,0,0,0,0,,,0,0,0,0,,
R-000146,1000-0002,URAC,F1100,Non-PQS Upright refrigerator, AC electricity,Unknown,3203,E,Unknown,,96,48,42,170,55,20,48,35,0,0,2003,,1,1,,,,0,,,,0,-1,-1,-1,0,,,0,0,0,0,0,3
R-000147,1000-0003,UREK,E3108M,PR 265 EK,Zero,3357,EK,NH3,,,,,179,37.5,,,,0,32,2001,,3,1,,,,0,,,,0,-1,0,0,0,,,0,0,-1,0,0,0
R-000149,1000-0004,UREK,E385M,V 170 EK,Sibir,22400099,EK,NH3,,,,,170,55,,,,47,36,2003,,3,3,,,,0,,,,0,0,0,0,0,,,0,0,-1,0,,
R-000150,1000-0005,SPR,E379M,VC-150 F,Dulas,327A50034,S,R134a,,,,,127,85,,,,63,0,2001,,1,1,,,,0,,,,0,-1,0,-1,0,,,0,0,0,0,1,0
