ft_equipment_id,ft_facility_code,ft_item_type,ft_library_id,ft_model_name,ft_manu_name,ft_serial_num,ft_power_source,ft_ref_gas_type,fi_cfc_free,fn_dimh_4deg,fn_diml_4deg,fn_dimw_4deg,fn_gross_volume_4deg,fn_net_volume_4deg,fn_dimh_20deg,fn_diml_20deg,fn_dimw_20deg,fn_gross_volume_20deg,fn_net_volume_20deg,fi_supply_year,fi_supply_source,fi_operating_cond,fi_work_status,fn_temp_high,fn_temp_low,fi_food,fi_tagged,fi_installation,ft_comment,fn_temp_monitor,fi_temp_none,fi_temp_dial,fi_temp_stem,fi_temp_30_visual,fi_temp_30_sms,fi_temp_number,ft_work_remarks,fn_not_work_spare_parts,fn_not_work_finance,fn_not_work_fuel,fn_not_work_boarded,fn_days_8,fn_days_2
R-000129,10441,CREG,E321M,RCW 42 EG,Dometic,8350502,EG,NH3,1,,,,40,10.5,,,,1.6,0,2009,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000102,10268,CREG,E321M,RCW 42 EG,Dometic,6380072,EG,NH3,1,,,,40,10.5,,,,1.6,0,2005,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000527,10357,CREG,E321M,RCW 42 EG,Dometic,6NA008048,EG,NH3,1,,,,40,10.5,,,,1.6,0,1959,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000238,13139,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,308TR0056,E,Unknown,1,,,,103,30,,,,0,0,2000,,1,1,,,,0,,,4,,,,,,,,,,,,,
R-000006,14169,CREG,E321M,RCW 42 EG,Dometic,7492228,EG,NH3,1,,,,40,10.5,,,,1.6,0,2000,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000536,01001,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,,E,Unknown,1,,,,103,30,,,,0,0,2000,,1,1,,,,0,,,,,,,,,,,,,,,,
R-000154,010021,CREG,E321M,RCW 42 EG,Dometic,4023994,EG,NH3,1,,,,40,10.5,,,,1.6,0,2006,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000158,010022,CREG,E321M,RCW 42 EG,Dometic,02906001,EG,NH3,1,,,,40,10.5,,,,1.6,0,2006,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000537,01005,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,99000046,E,Unknown,1,,,,103,30,,,,0,0,1998,,1,1,,,,0,,,1,,,,,,,,,,,,,
R-000538,01007,CREG,E321M,RCW 42 EG,Dometic,0100190,EG,NH3,1,,,,40,10.5,,,,1.6,0,2006,,1,1,,,,0,,,1,,,,,,,,,,,,,
R-000539,01007,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,24284DAPA00304H,E,Unknown,1,,,,103,30,,,,0,0,2000,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000540,01008,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,707430007,E,Unknown,1,,,,103,30,,,,0,0,1998,,1,1,,,,0,,,1,,,,,,,,,,,,,
R-000541,01010,URAC,NP0001,domestic fridge with freezer,domestic manufacturer,908TRZY00205,E,Unknown,1,,,,68.7,24,,,,7.75,0,2000,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000542,01011,CREG,E321M,RCW 42 EG,Dometic,7140167,EG,NH3,1,,,,40,10.5,,,,1.6,0,2009,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000543,01012,UREG,E390M,GR 245 G/E,Zero,802TRLV00104,EG,NH3,1,,,,107,18,,,,20,0,2005,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000544,01016,URAC,NP0001,domestic fridge with freezer,domestic manufacturer,609TRT00088,E,Unknown,1,,,,68.7,24,,,,7.75,0,2000,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000545,01017,CREG,E321M,RCW 42 EG,Dometic,4023993,EG,NH3,1,,,,40,10.5,,,,1.6,0,2006,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000546,01018,URAC,NP0001,domestic fridge with freezer,domestic manufacturer,,E,Unknown,1,,,,68.7,24,,,,7.75,0,2000,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000547,01019,CREG,E321M,RCW 42 EG,Dometic,9080033,EG,NH3,1,,,,40,10.5,,,,1.6,0,2010,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000495,01020,CREG,E321M,RCW 42 EG,Dometic,7350239,EG,NH3,1,,,,40,10.5,,,,1.6,0,2006,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000536,01022,UREG,E386M,V 110 GE,Sibir,73730028,EG,NH3,1,,,,110,17,,,,15,0,2005,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000537,01023,UREG,E386M,V 110 GE,Sibir,120342M,EG,NH3,1,,,,110,17,,,,15,0,2006,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000538,01024,CREG,E321M,RCW 42 EG,Dometic,9080097,EG,NH3,1,,,,40,10.5,,,,1.6,0,2010,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000539,01025,UREG,E384M,V 170 GE,Sibir,1887,EG,NH3,1,,,,170,55,,,,47,36,2003,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000540,01026,CREG,E321M,RCW 42 EG,Dometic,2205127,EG,NH3,1,,,,40,10.5,,,,1.6,0,2006,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000541,01027,CREG,E321M,RCW 42 EG,Dometic,0270513,EG,NH3,1,,,,40,10.5,,,,1.6,0,2006,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000542,01028,SPR,E003001,TCW 2000 DC,Dometic,ME261820635,S,R134A,1,,,,118,76,,,,42,30,2006,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000573,01030,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,,E,Unknown,1,,,,103,30,,,,0,0,2000,,1,1,,,,0,,,2,,,,,,,,,,,,,
