Facility Code,District,Facility Name,Facility Type,Net Storage (Litres): Actual,Net Storage (Litres): Required,Net Storage (Litres): Difference,Surplus
1000-0000,CENTRAL,DOWA HOSPITAL,District hospital - MoH,129,16.27,112.73,4
1000-0001,CENTRAL,DOWA DHO VACCINE STORE,District vaccine store,120,206,-86,0
1000-0002,CENTRAL,MSAKAMBEWA,Health centre - MoH,55,10.48,44.52,4
1000-0003,CENTRAL,CHIBANZI HEALTH POST,Health post - MoH,0,3.62,-3.62,0
1000-0004,CENTRAL,CHAKHAZA,Health centre - MoH,0,8.95,-8.95,0
1000-0005,CENTRAL,BOWE,Health centre - MoH,85,10.22,74.78,4
1000-0006,CENTRAL,CHINKHWILI,Health centre - MoH,55,8.02,46.98,4
1000-0007,CENTRAL,MADISI,Hospital - CHAM,129,14.5,114.5,4
1000-0008,CENTRAL,KASESE,Health centre - Private,24,8.77,15.23,4
1000-0009,CENTRAL,KACHIGAMBA HEALTH POST,Health post - MoH,0,2.85,-2.85,0
1000-0010,CENTRAL,CHIZOLOWONDO,Health centre - MoH,55,7.69,47.31,4
1000-0011,CENTRAL,MONDWE,Health post - MoH,0,0.77,-0.77,0
1000-0012,CENTRAL,MBINGWA,Health centre - MoH,17.5,6.69,10.81,4
1000-0013,CENTRAL,CHISEPO,Health centre - MoH,85,9.08,75.92,4
1000-0014,CENTRAL,KAYEMBE,Health centre - MoH,85,5.11,79.89,4
1000-0015,CENTRAL,NAMBUMA HEALTH POST,Health post - MoH,0,5.79,-5.79,0
1000-0016,CENTRAL,DZOOLE,Health centre - MoH,55,15.67,39.33,4
1000-0017,CENTRAL,MPONERA RURAL HOSPITAL,Rural hospital - MoH,105,19.55,85.45,4
1000-0018,CENTRAL,MTENGOWANTHENGA,Community hospital - CHAM,18,17.75,0.25,2
1000-0019,CENTRAL,DZALEKA,Health centre - MoH,55,13.61,41.39,4
1000-0020,CENTRAL,CHEZI,Health centre - Private,55,9.81,45.19,4
1000-0021,CENTRAL,CHANKHUNGU,Health centre - MoH,0,6.45,-6.45,0
1000-0022,CENTRAL,THONJE,Health centre - MoH,55,6.51,48.49,4
1000-0023,CENTRAL,MVERA ARMY,Dispensary - MoH,55,3.97,51.03,4
1000-0024,CENTRAL,MVERA MISSION,Health centre - CHAM,76,6.3,69.7,4
1000-0025,CENTRAL,NALUNGA,Health centre - MoH,0,4.1,-4.1,0
1000-0026,CENTRAL,MWANGALA,Health centre - MoH,0,2.88,-2.88,0
1001-0000,CENTRAL,NKHAMENYA,Community hospital - CHAM,130,14.91,115.09,4
1001-0001,CENTRAL,KAMDIDI HEALTH POST,Health post - MoH,0,2,-2,0
1001-0002,CENTRAL,THUPA,Health post - MoH,24,3.03,20.97,4
1001-0003,CENTRAL,MPEPA,Dispensary - MoH,0,4.96,-4.96,0
1001-0004,CENTRAL,NEWA,Health centre - CHAM,18,1.97,16.03,4
1001-0005,CENTRAL,KALULUMA,Rural hospital - MoH,0,11.46,-11.46,0
1001-0006,CENTRAL,CHATOLOMA,Health post - MoH,0,3.79,-3.79,0
1001-0007,CENTRAL,SIMULEMBA,Health centre - MoH,104.5,10.33,94.17,4
1001-0008,CENTRAL,MANJONDO,Health post - MoH,24,1.5,22.5,4
1001-0009,CENTRAL,OFFESI,Dispensary - MoH,0,4.96,-4.96,0
1001-0010,CENTRAL,CHULU,Health centre - MoH,74.5,12.38,62.12,4
1001-0011,CENTRAL,MPHOMWA,Health post - MoH,24,1.68,22.32,4
1001-0012,CENTRAL,DWANGWA,Dispensary - MoH,24,7.6,16.4,4
1001-0013,CENTRAL,ESTATE 81,Health centre - Private,55,2.48,52.52,4
1001-0014,CENTRAL,GOGODE,Dispensary - MoH,55,5.71,49.29,4
1001-0015,CENTRAL,SANTHE,Health centre - MoH,60,11.41,48.59,4
1001-0016,CENTRAL,MKHOTA,Health centre - MoH,105,8.07,96.93,4
1001-0017,CENTRAL,KHOLA,Health centre - MoH,130,13.16,116.84,4
1001-0018,CENTRAL,CHIZINGA,Health centre - Private,75,1.66,73.34,4
1001-0019,CENTRAL,KAWAMBA,Health centre - MoH,55,8.54,46.46,4
1001-0020,CENTRAL,KAMBONI,Health centre - MoH,0,9.58,-9.58,0
1001-0021,CENTRAL,LINYANGWA,Health centre - MoH,17,8.45,8.55,4
1001-0022,CENTRAL,MZIZA,Health centre - CHAM,18,5.94,12.06,4
1001-0023,CENTRAL,BUA,Health centre - MoH,75,10.82,64.18,4
1001-0024,CENTRAL,MDUNGA,Health centre - MoH,24,6.26,17.74,4
1001-0025,CENTRAL,KAPELURA,Health centre - MoH,17,8.07,8.93,4
1001-0026,CENTRAL,KAPICHILA HEALTH POST,Health post - MoH,55,3.28,51.72,4
1001-0027,CENTRAL,KAPYANGA,Health post - MoH,17,5.39,11.61,4
1001-0028,CENTRAL,KASIYA,Health post - MoH,41.5,1.51,39.99,4
1001-0029,CENTRAL,LIVWEZI,Health post - MoH,24,5.35,18.65,4
1001-0030,CENTRAL,ESTATE 17,Health centre - Private,55,0.9,54.1,4
1001-0031,CENTRAL,ST ANDREWS,Community hospital - CHAM,0,0.33,-0.33,0
1001-0032,CENTRAL,MTUNTHAMA,Health centre - MoH,60,12.52,47.48,4
1001-0033,CENTRAL,CHAMWABVI,Health centre - MoH,0,9.63,-9.63,0
1001-0034,CENTRAL,MITULA HEALTH POST,Health post - MoH,24,0.87,23.13,4
1001-0035,CENTRAL,LOJWA,Dispensary - MoH,24,2.53,21.47,4
1001-0036,CENTRAL,KASUNGU DISTRICT HOSPITAL,District hospital - MoH,75,37.56,37.44,4
1001-0037,CENTRAL,WIMBE,Health centre - MoH,17,23.17,-6.17,1
1001-0038,CENTRAL,CHAMAMA,Health post - MoH,18,6.99,11.01,4
1001-0039,CENTRAL,KASUNGU DISTRICT VACCINE STORE,District vaccine store,105,227.19,-122.19,0
1002-0000,CENTRAL,Mtosa Heath Centre,Health centre - MoH,15.5,4.64,10.86,4
1002-0001,CENTRAL,Alinafe Community Hospita,Community hospital - CHAM,24,7.77,16.23,4
1002-0002,CENTRAL,Benga Health Centre,Health centre - MoH,39.5,5.94,33.56,4
1002-0003,CENTRAL,Mwansambo Health Centre,Health centre - MoH,165,8.94,156.06,4
1002-0004,CENTRAL,Malowa Health Centre,Health centre - MoH,17,5.43,11.57,4
1002-0005,CENTRAL,Kapiri Health Centre,Health centre - CHAM,24,11.08,12.92,4
1002-0006,CENTRAL,Chididi Health Centre,Health centre - CHAM,24,4.87,19.13,4
1002-0007,CENTRAL,Mpamantha Dispensary,Dispensary - MoH,24,5.81,18.19,4
1002-0008,CENTRAL,ST Annes Mission Hospital,Hospital - CHAM,55,2.2,52.8,4
1002-0009,CENTRAL,Bua Health Centre,Health centre - MoH,160,4.76,155.24,4
1002-0010,CENTRAL,Msenjere Health Centre,Health centre - MoH,55,5.22,49.78,4
1002-0011,CENTRAL,Katimbira Health centre,Health centre - MoH,24,3.68,20.32,4
1002-0012,CENTRAL,Liwaladzi Health Cente,Health centre - MoH,55,5.45,49.55,4
1002-0013,CENTRAL,Dwambadzi Rural Hospital,Rural hospital - MoH,60,5.34,54.66,4
1002-0014,CENTRAL,Kasitu Cham Health Centre,Health centre - CHAM,24,4.03,19.97,4
1002-0015,CENTRAL,Ngala Health Centre,Health centre - MoH,24,5.37,18.63,4
1002-0016,CENTRAL,Kaongozi Health Centre,Health centre - MoH,24,3.75,20.25,4
1002-0017,CENTRAL,Nkhunga Health Centre,Health centre - MoH,60,10.35,49.65,4
1002-0018,CENTRAL,Matiki Health Centre Dwangwa,Health centre - MoH,160,6.94,153.06,4
1002-0019,CENTRAL,Lupachi Health Post,Health post - MoH,24,2.88,21.12,4
1002-0020,CENTRAL,Nkhotakota District Hospital,District hospital - MoH,105,23.67,81.33,4
1002-0021,CENTRAL,Dwangwa Cane growers Clinic,Health centre - Private,24,2.65,21.35,4
1002-0022,CENTRAL,Nkhotakota District Hospital Vaccine Store,District vaccine store,379.5,107.48,272.02,4
1003-0000,CENTRAL,Ntchisi District Hospital,District hospital - MoH,60,16.34,43.66,4
1003-0001,CENTRAL,Ntchisi District Vaccine Store,District vaccine store,75,78.59,-3.59,2
1003-0002,CENTRAL,Sambakusi Health Centre,Health centre - MoH,55,1.23,53.77,4
1003-0003,CENTRAL,Malomo Health Centre,Health centre - MoH,55,15.03,39.97,4
1003-0004,CENTRAL,Chinguluwe Health Centre,Health centre - MoH,17,7.74,9.26,4
1003-0005,CENTRAL,Mzandu Health Centre,Health centre - MoH,55,6.01,48.99,4
1003-0006,CENTRAL,Chinthembwe Health Centre,Health centre - CHAM,24,4.37,19.63,4
1003-0007,CENTRAL,Kangolwa Health Centre,Health centre - MoH,85,5.3,79.7,4
1003-0008,CENTRAL,Nthondo Health Centre,Health centre - MoH,0,6.88,-6.88,0
1003-0009,CENTRAL,Mndinda Dispensary,Dispensary - MoH,36,2.58,33.42,4
1003-0010,CENTRAL,Khuwi Health Centre,Health centre - MoH,24,8.6,15.4,4
1003-0011,CENTRAL,Kamsonga Health Centre,Health centre - MoH,18,6.17,11.83,4
1003-0012,CENTRAL,Malambo Health Centre,Health centre - CHAM,18,2.94,15.06,4
1003-0013,CENTRAL,Mkuzi Health Centre,Health centre - MoH,17,6.01,10.99,4
1004-0000,CENTRAL,SALIMA HOSPITAL,District hospital - MoH,75,19.73,55.27,4
1004-0001,CENTRAL,SALIMA DISTRICT VACCINE STORE,District vaccine store,115,130.61,-15.61,1
1004-0002,CENTRAL,CHITALA HEALTH CENTRE,Health centre - CHAM,24,3.55,20.45,4
1004-0003,CENTRAL,KAPHATENGA HEALTH CENTRE,Health centre - CHAM,75,7.59,67.41,4
1004-0004,CENTRAL,CHINGULUWE HEALTH CENTRE,Health centre - MoH,0,4.67,-4.67,0
1004-0005,CENTRAL,KATAWA HEALTH CENTRE,Health centre - Private,79,2.83,76.17,4
1004-0006,CENTRAL,KHOMBEZA HEALTH CENTRE,Health centre - MoH,76,18.09,57.91,4
1004-0007,CENTRAL,MAKIYONI HEALTH CENTRE,Health centre - MoH,24,8.06,15.94,4
1004-0008,CENTRAL,THAVITE HEALTH CENTRE,Health centre - MoH,55,8.03,46.97,4
1004-0009,CENTRAL,SALIMA ADMARC CLINIC,Dispensary - MoH,55,8.69,46.31,4
1004-0010,CENTRAL,BLM CLINIC,Health centre - Private,110,0.66,109.34,4
1004-0011,CENTRAL,BAPTIST MEDICAL CLINIC,Health centre - CHAM,184,5.02,178.98,4
1004-0012,CENTRAL,LIFUWU HEALTH CENTRE,Health centre - MoH,55,5.1,49.9,4
1004-0013,CENTRAL,MAFCO CAMP HOSPITAL,Hospital - Private,55,1.98,53.02,4
1004-0014,CENTRAL,PARACHUTE CLINIC,Hospital - Private,55,0.71,54.29,4
1004-0015,CENTRAL,MAGANGA HEALTH CENTRE,Health centre - MoH,0,11.51,-11.51,0
1004-0016,CENTRAL,CHAGUNDA HEALTH CENTRE,Health centre - MoH,0,5.02,-5.02,0
1004-0017,CENTRAL,MCHOKA HEALTH CENTRE,Health centre - MoH,91,9.46,81.54,4
1004-0018,CENTRAL,CHIPOKA HEALTH CENTRE,Health centre - MoH,79,9.21,69.79,4
1004-0019,CENTRAL,NGODZI HEALTH CENTRE,Health centre - CHAM,0,3.17,-3.17,0
1004-0020,CENTRAL,LIFELINE HEALTH CENTRE,Health centre - Private,24,2.57,21.43,4
1004-0021,CENTRAL,MAKHO HEALTH POST,Health post - MoH,24,0.62,23.38,4
1005-0001,CENTRAL,MAONDE HEALTH CENTRE,Health centre - MoH,55,5.73,49.27,4
1005-0002,CENTRAL,MPHATI HEALTH CENTRE,Health centre - MoH,55,3.52,51.48,4
1005-0003,CENTRAL,CHIMOTO HEALTH CENTRE,Health centre - MoH,55,10.52,44.48,4
1005-0004,CENTRAL,MIKONDE HEALTH CENTRE,Health centre - CHAM,55,5.95,49.05,4
1005-0005,CENTRAL,MATUMBA HEALTH CENTRE,Health centre - CHAM,79,11.59,67.41,4
1005-0006,CENTRAL,CHITOWE,Health centre - MoH,110,10.37,99.63,4
1005-0007,CENTRAL,MBEZA HEALTH CENTRE,Health centre - MoH,42,4.31,37.69,4
1005-0008,CENTRAL,KANYEZI HEALTH CENTRE,Health centre - MoH,55,9.08,45.92,4
1005-0009,CENTRAL,KAFERE HEALTH CENTRE,Health centre - MoH,109,3.56,105.44,4
1005-0010,CENTRAL,LOBI HEALTH CENTRE,Health centre - MoH,131,6.49,124.51,4
1005-0011,CENTRAL,MTAKATAKA,Health centre - MoH,24,6.89,17.11,4
1005-0012,CENTRAL,NAKALAZI HEALTH CENTRE,Health centre - CHAM,17,6.11,10.89,4
1005-0013,CENTRAL,MUA HEALTH CENTRE,Community hospital - CHAM,105,6.82,98.18,4
1005-0014,CENTRAL,KAUNDU HEALTHCENTRE,Health centre - CHAM,0,6.91,-6.91,0
1005-0015,CENTRAL,MGANJA HEALTH CENTRE,Health centre - MoH,48,1.65,46.35,4
1005-0016,CENTRAL,GOLOMOTI HEALTH CENTRE,Health centre - MoH,79,8.95,70.05,4
1005-0017,CENTRAL,BEMBEKE HEALTH CENTRE,Health centre - CHAM,84,9.19,74.81,4
1005-0018,CENTRAL,KASINA HEALTH CENTRE,Health centre - CHAM,76,8.85,67.15,4
1005-0019,CENTRAL,TSOYO HEALTH CENTRE,Health centre - MoH,79,6.91,72.09,4
1005-0020,CENTRAL,KALULU HEALTH CENTRE,Health centre - MoH,0,3.58,-3.58,0
1005-0021,CENTRAL,MAYANI HEALTH CENTRE,Health centre - MoH,76,9.44,66.56,4
1005-0022,CENTRAL,KALULU,Health centre - MoH,85,3.58,81.42,4
1005-0023,CENTRAL,CHIPHWAYA HEALTH CENTRE,Health centre - CHAM,55,4.05,50.95,4
1005-0024,CENTRAL,MTINI HEALTH CENTRE,Health centre - MoH,17,5.94,11.06,4
1005-0025,CENTRAL,KAPHUKA HEALTH CENTRE,Health centre - MoH,55,11.71,43.29,4
1005-0026,CENTRAL,DZINDEVU HEALTH CENTRE,Health centre - MoH,0,9.6,-9.6,0
1005-0027,CENTRAL,CHIKUSE,Health centre - MoH,85,9.21,75.79,4
1005-0028,CENTRAL,KANYAMA HEALTH CENTRE,Health centre - CHAM,55,0.9,54.1,4
1005-0029,CENTRAL,CHINGONI,Health centre - MoH,24,7.21,16.79,4
1005-0030,CENTRAL,MLANGALI HEALTH CENTRE,Health centre - MoH,55,5.74,49.26,4
1005-0031,CENTRAL,MPHUNZI HEALTH,Health centre - CHAM,55,6.3,48.7,4
1005-0032,CENTRAL,MTENDERE HEALTH CENTRE,Community hospital - CHAM,55,20.9,34.1,4
1005-0033,CENTRAL,DEDZA HEALTH CENTRE,District vaccine store,289,215.39,73.61,4
1005-0034,CENTRAL,DEDZA HEALTH CENTRE,District hospital - MoH,55,11.03,43.97,4
1006-0000,CENTRAL,Lilongwe DHO,District vaccine store,225,675.58,-450.58,0
1006-0001,CENTRAL,Bwaila Rural Hospital,Rural hospital - MoH,131,43.82,87.18,4
1006-0002,CENTRAL,Kawale Health Centre,Health centre - MoH,76,86.67,-10.67,1
1006-0003,CENTRAL,Kamuzu Barracks,Health centre - MoH,55,1.84,53.16,4
1006-0004,CENTRAL,New State House,Health centre - MoH,110,3.15,106.85,4
1006-0005,CENTRAL,Kangoma Health Centre,Health centre - MoH,55,7.22,47.78,4
1006-0006,CENTRAL,Muloza Seventh Day Adventist,Health centre - CHAM,55,5.96,49.04,4
1006-0007,CENTRAL,Achikondi Women Community Drindly Services,Health centre - Private,0,8.78,-8.78,0
1006-0008,CENTRAL,Likuni Hospital,Hospital - CHAM,220,18.5,201.5,4
1006-0009,CENTRAL,Nkhalango Private Clinic,Health centre - Private,55,1.14,53.86,4
1006-0010,CENTRAL,Area 18 Health Centre,Health centre - MoH,186,63.52,122.48,4
1006-0011,CENTRAL,Area 30 Police Dispensary,Dispensary - MoH,55,1.23,53.77,4
1006-0012,CENTRAL,Area 25 Health Centre,Health centre - MoH,115,7.85,107.15,4
1006-0013,CENTRAL,Chiwamba Health Centre,Health centre - MoH,55,24.57,30.43,4
1006-0014,CENTRAL,Lumbadzi Health Centre,Health centre - MoH,130,27.08,102.92,4
1006-0015,CENTRAL,Mbangombe,Health centre - MoH,85,5.41,79.59,4
