Facility Code,District,Facility Name,Facility Type,Net Storage (Litres): Actual,Net Storage (Litres): Required,Net Storage (Litres): Difference,Surplus
1000-0000,CENTRAL,DOWA HOSPITAL,District hospital - MoH,129,24.43,104.57,4
1000-0001,CENTRAL,DOWA DHO VACCINE STORE,District vaccine store,120,319.14,-199.14,0
1000-0002,CENTRAL,MSAKAMBEWA,Health centre - MoH,55,15.74,39.26,4
1000-0003,CENTRAL,CHIBANZI HEALTH POST,Health post - MoH,0,5.44,-5.44,0
1000-0004,CENTRAL,CHAKHAZA,Health centre - MoH,0,13.44,-13.44,0
1000-0005,CENTRAL,BOWE,Health centre - MoH,85,15.35,69.65,4
1000-0006,CENTRAL,CHINKHWILI,Health centre - MoH,55,12.04,42.96,4
1000-0007,CENTRAL,MADISI,Hospital - CHAM,129,21.78,107.22,4
1000-0008,CENTRAL,KASESE,Health centre - Private,24,13.17,10.83,4
1000-0009,CENTRAL,KACHIGAMBA HEALTH POST,Health post - MoH,0,4.28,-4.28,0
1000-0010,CENTRAL,CHIZOLOWONDO,Health centre - MoH,55,11.55,43.45,4
1000-0011,CENTRAL,MONDWE,Health post - MoH,0,1.16,-1.16,0
1000-0012,CENTRAL,MBINGWA,Health centre - MoH,17.5,10.04,7.46,4
1000-0013,CENTRAL,CHISEPO,Health centre - MoH,85,13.64,71.36,4
1000-0014,CENTRAL,KAYEMBE,Health centre - MoH,85,7.67,77.33,4
1000-0015,CENTRAL,NAMBUMA HEALTH POST,Health post - MoH,0,8.69,-8.69,0
1000-0016,CENTRAL,DZOOLE,Health centre - MoH,55,23.54,31.46,4
1000-0017,CENTRAL,MPONERA RURAL HOSPITAL,Rural hospital - MoH,105,29.36,75.64,4
1000-0018,CENTRAL,MTENGOWANTHENGA,Community hospital - CHAM,18,26.66,-8.66,0
1000-0019,CENTRAL,DZALEKA,Health centre - MoH,55,20.44,34.56,4
1000-0020,CENTRAL,CHEZI,Health centre - Private,55,14.73,40.27,4
1000-0021,CENTRAL,CHANKHUNGU,Health centre - MoH,0,9.69,-9.69,0
1000-0022,CENTRAL,THONJE,Health centre - MoH,55,9.78,45.22,4
1000-0023,CENTRAL,MVERA ARMY,Dispensary - MoH,55,5.96,49.04,4
1000-0024,CENTRAL,MVERA MISSION,Health centre - CHAM,76,9.46,66.54,4
